xflr5 v6.61
SD6060-104-88-MP
T1_Re0.225_M0.06_N9.0_XtrTop15%_XtrBot15%
Alpha =  12.0,  Re =   225000,  Ma = 0.0610,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 0.6687    0.270     0.139    -0.854    -0.928
 0.6763    0.269     0.137    -0.855    -0.929
 0.6839    0.267     0.134    -0.856    -0.931
 0.6915    0.265     0.132    -0.857    -0.932
 0.6991    0.264     0.130    -0.858    -0.933
 0.7067    0.263     0.128    -0.859    -0.934
 0.7143    0.261     0.126    -0.860    -0.935
 0.7219    0.260     0.124    -0.860    -0.936
 0.7295    0.259     0.122    -0.861    -0.937
 0.7371    0.259     0.120    -0.861    -0.938
 0.7447    0.258     0.119    -0.862    -0.939
 0.7523    0.257     0.117    -0.862    -0.940
 0.7600    0.257     0.115    -0.862    -0.941
 0.7676    0.256     0.114    -0.863    -0.942
 0.7752    0.256     0.112    -0.863    -0.942
 0.7829    0.255     0.110    -0.863    -0.943
 0.7905    0.255     0.108    -0.864    -0.944
 0.7981    0.254     0.107    -0.864    -0.945
 0.8058    0.254     0.105    -0.864    -0.946
 0.8134    0.254     0.103    -0.864    -0.947
 0.8210    0.254     0.101    -0.864    -0.948
 0.8287    0.254     0.100    -0.864    -0.949
 0.8363    0.254     0.098    -0.864    -0.950
 0.8440    0.254     0.096    -0.864    -0.951
 0.8516    0.255     0.094    -0.864    -0.952
 0.8593    0.255     0.093    -0.863    -0.953
 0.8669    0.256     0.091    -0.863    -0.954
 0.8745    0.258     0.089    -0.862    -0.955
 0.8822    0.259     0.087    -0.861    -0.956
 0.8898    0.260     0.085    -0.860    -0.957
 0.8974    0.261     0.082    -0.860    -0.958
 0.9050    0.263     0.079    -0.859    -0.960
 0.9126    0.264     0.076    -0.858    -0.961
 0.9202    0.266     0.073    -0.857    -0.963
 0.9277    0.268     0.069    -0.856    -0.965
 0.9353    0.271     0.065    -0.854    -0.967
 0.9428    0.273     0.060    -0.853    -0.970
 0.9503    0.276     0.053    -0.851    -0.973
 0.9577    0.279     0.046    -0.849    -0.977
 0.9651    0.282     0.036    -0.848    -0.982
 0.9723    0.285     0.023    -0.846    -0.988
 0.9793    0.288     0.007    -0.844    -0.997
 0.9859    0.292    -0.015    -0.842    -1.008
 0.9920    0.298    -0.043    -0.838    -1.021
 0.9971    0.303    -0.082    -0.835    -1.040
 1.0000    0.304    -0.050    -0.835    -1.025


